season,week,celebrity_name,fan_votes,judge_total,voting_method,eliminated,estimation_method
2,2,Tatum O'Neal,3000.0,17.0,rank,True,ml_ensemble_rank_optimized
2,2,Tia Carrere,6000.0,22.0,rank,False,ml_ensemble_rank_optimized
2,2,George Hamilton,5000.0,22.0,rank,False,ml_ensemble_rank_optimized
2,2,Lisa Rinna,4000.0,20.0,rank,False,ml_ensemble_rank_optimized
2,2,Stacy Keibler,9000.0,29.0,rank,False,ml_ensemble_rank_optimized
2,2,Jerry Rice,7000.0,23.0,rank,False,ml_ensemble_rank_optimized
2,2,Giselle Fernandez,8000.0,24.0,rank,False,ml_ensemble_rank_optimized
2,2,Master P,4000.0,16.0,rank,False,ml_ensemble_rank_optimized
2,2,Drew Lachey,9000.0,27.0,rank,False,ml_ensemble_rank_optimized
2,3,Tia Carrere,6000.0,26.0,rank,False,ml_ensemble_rank_optimized
2,3,George Hamilton,4000.0,22.0,rank,False,ml_ensemble_rank_optimized
2,3,Lisa Rinna,5000.0,25.0,rank,False,ml_ensemble_rank_optimized
2,3,Stacy Keibler,8000.0,27.0,rank,False,ml_ensemble_rank_optimized
2,3,Jerry Rice,4000.0,19.0,rank,False,ml_ensemble_rank_optimized
2,3,Giselle Fernandez,2000.0,22.0,rank,True,ml_ensemble_rank_optimized
2,3,Master P,5000.0,14.0,rank,False,ml_ensemble_rank_optimized
2,3,Drew Lachey,8000.0,27.0,rank,False,ml_ensemble_rank_optimized
2,4,Tia Carrere,5000.0,25.0,rank,False,ml_ensemble_rank_optimized
2,4,George Hamilton,3000.0,21.0,rank,False,ml_ensemble_rank_optimized
2,4,Lisa Rinna,6000.0,26.0,rank,False,ml_ensemble_rank_optimized
2,4,Stacy Keibler,7000.0,26.0,rank,False,ml_ensemble_rank_optimized
2,4,Jerry Rice,4000.0,24.0,rank,False,ml_ensemble_rank_optimized
2,4,Master P,2000.0,8.0,rank,True,ml_ensemble_rank_optimized
2,4,Drew Lachey,7000.0,28.0,rank,False,ml_ensemble_rank_optimized
2,5,Tia Carrere,2000.0,22.0,rank,True,ml_ensemble_rank_optimized
2,5,George Hamilton,4000.0,24.0,rank,False,ml_ensemble_rank_optimized
2,5,Lisa Rinna,5000.0,25.0,rank,False,ml_ensemble_rank_optimized
2,5,Stacy Keibler,6000.0,30.0,rank,False,ml_ensemble_rank_optimized
2,5,Jerry Rice,3000.0,23.0,rank,False,ml_ensemble_rank_optimized
2,5,Drew Lachey,6000.0,27.0,rank,False,ml_ensemble_rank_optimized
2,6,George Hamilton,3000.0,23.0,rank,True,ml_ensemble_rank_optimized
2,6,Lisa Rinna,4000.0,27.0,rank,False,ml_ensemble_rank_optimized
2,6,Stacy Keibler,5000.0,30.0,rank,False,ml_ensemble_rank_optimized
2,6,Jerry Rice,3000.0,23.0,rank,False,ml_ensemble_rank_optimized
2,6,Drew Lachey,5000.0,30.0,rank,False,ml_ensemble_rank_optimized
2,7,Lisa Rinna,2000.0,26.5,rank,True,ml_ensemble_rank_optimized
2,7,Stacy Keibler,4000.0,27.5,rank,False,ml_ensemble_rank_optimized
2,7,Jerry Rice,3000.0,20.5,rank,False,ml_ensemble_rank_optimized
2,7,Drew Lachey,4000.0,27.5,rank,False,ml_ensemble_rank_optimized
2,8,Stacy Keibler,2000.0,28.6665,rank,True,ml_ensemble_rank_optimized
2,8,Jerry Rice,3000.0,26.666600000000003,rank,False,ml_ensemble_rank_optimized
2,8,Drew Lachey,3000.0,28.9998,rank,False,ml_ensemble_rank_optimized
3,1,Harry Hamlin,699660.752633106,17.0,percent,False,ml_ensemble_percent_optimized
3,1,Vivica A. Fox,1087516.1532752363,22.0,percent,False,ml_ensemble_percent_optimized
3,1,Monique Coleman,830993.3868927261,19.0,percent,False,ml_ensemble_percent_optimized
3,1,Joey Lawrence,962326.0261193996,21.0,percent,False,ml_ensemble_percent_optimized
3,1,Mario Lopez,1651456.4082097006,55.6666,percent,False,ml_ensemble_percent_optimized
3,1,Emmitt Smith,1639171.38903508,53.6666,percent,False,ml_ensemble_percent_optimized
3,1,Shanna Moakler,705803.2597368894,18.0,percent,False,ml_ensemble_percent_optimized
3,1,Willa Ford,1087516.1532752363,22.0,percent,False,ml_ensemble_percent_optimized
3,1,Sara Evans,449280.49832143285,15.0,percent,False,ml_ensemble_percent_optimized
3,1,Jerry Springer,574470.6205102156,16.0,percent,False,ml_ensemble_percent_optimized
3,1,Tucker Carlson,311805.35199097596,12.0,percent,True,ml_ensemble_percent_optimized
3,2,Harry Hamlin,717145.6734297283,21.0,percent,False,ml_ensemble_percent_optimized
3,2,Vivica A. Fox,1162613.595669313,24.0,percent,False,ml_ensemble_percent_optimized
3,2,Monique Coleman,1177106.365447904,26.0,percent,False,ml_ensemble_percent_optimized
3,2,Joey Lawrence,1481331.3750976964,29.0,percent,False,ml_ensemble_percent_optimized
3,2,Mario Lopez,1282117.42312997,21.0,percent,False,ml_ensemble_percent_optimized
3,2,Emmitt Smith,1445099.4804535413,24.0,percent,False,ml_ensemble_percent_optimized
3,2,Shanna Moakler,583149.106219093,22.0,percent,True,ml_ensemble_percent_optimized
3,2,Willa Ford,1014124.2882561182,23.0,percent,False,ml_ensemble_percent_optimized
3,2,Sara Evans,575902.7211035069,21.0,percent,False,ml_ensemble_percent_optimized
3,2,Jerry Springer,561409.9711931307,19.0,percent,False,ml_ensemble_percent_optimized
3,3,Harry Hamlin,657902.8826289072,22.0,percent,True,ml_ensemble_percent_optimized
3,3,Vivica A. Fox,1499442.5837821683,27.0,percent,False,ml_ensemble_percent_optimized
3,3,Monique Coleman,1499442.5837821683,27.0,percent,False,ml_ensemble_percent_optimized
3,3,Joey Lawrence,978415.7046450677,22.0,percent,False,ml_ensemble_percent_optimized
3,3,Mario Lopez,1459184.9411917499,22.0,percent,False,ml_ensemble_percent_optimized
3,3,Emmitt Smith,1114517.526637127,19.0,percent,False,ml_ensemble_percent_optimized
3,3,Willa Ford,978415.7046450678,22.0,percent,False,ml_ensemble_percent_optimized
3,3,Sara Evans,1162826.7037060938,25.0,percent,False,ml_ensemble_percent_optimized
3,3,Jerry Springer,649851.3689816485,21.0,percent,False,ml_ensemble_percent_optimized
3,4,Vivica A. Fox,827020.199351143,24.0,percent,True,ml_ensemble_percent_optimized
3,4,Monique Coleman,1243686.8761194944,24.0,percent,False,ml_ensemble_percent_optimized
3,4,Joey Lawrence,1477272.7398280147,27.0,percent,False,ml_ensemble_percent_optimized
3,4,Mario Lopez,1910774.3997113171,29.0,percent,False,ml_ensemble_percent_optimized
3,4,Emmitt Smith,1452020.199111818,24.0,percent,False,ml_ensemble_percent_optimized
3,4,Willa Ford,1485690.2269091273,28.0,percent,False,ml_ensemble_percent_optimized
3,4,Sara Evans,793350.1824693229,20.0,percent,False,ml_ensemble_percent_optimized
3,4,Jerry Springer,810185.1764997628,22.0,percent,False,ml_ensemble_percent_optimized
3,5,Monique Coleman,1550702.1149257135,27.0,percent,False,ml_ensemble_percent_optimized
3,5,Joey Lawrence,1271869.2617232827,25.0,percent,False,ml_ensemble_percent_optimized
3,5,Mario Lopez,2071535.4487350532,27.0,percent,False,ml_ensemble_percent_optimized
3,5,Emmitt Smith,2071535.4487350532,27.0,percent,False,ml_ensemble_percent_optimized
3,5,Willa Ford,1029868.7821460789,27.0,percent,True,ml_ensemble_percent_optimized
3,5,Sara Evans,1002244.4718674097,24.0,percent,False,ml_ensemble_percent_optimized
3,5,Jerry Springer,1002244.4718674097,24.0,percent,False,ml_ensemble_percent_optimized
3,7,Monique Coleman,1259259.249666654,27.0,percent,False,ml_ensemble_percent_optimized
3,7,Joey Lawrence,2203703.686027974,28.5,percent,False,ml_ensemble_percent_optimized
3,7,Mario Lopez,2660493.843695337,28.0,percent,False,ml_ensemble_percent_optimized
3,7,Emmitt Smith,2666666.6599533693,28.5,percent,False,ml_ensemble_percent_optimized
3,7,Jerry Springer,1209876.5606566656,23.0,percent,True,ml_ensemble_percent_optimized
3,8,Monique Coleman,1794087.665055115,26.5,percent,True,ml_ensemble_percent_optimized
3,8,Joey Lawrence,2496177.3702966995,27.0,percent,False,ml_ensemble_percent_optimized
3,8,Mario Lopez,3213557.594351487,28.5,percent,False,ml_ensemble_percent_optimized
3,8,Emmitt Smith,2496177.3702966995,27.0,percent,False,ml_ensemble_percent_optimized
3,9,Joey Lawrence,2638888.888888889,29.5,percent,True,ml_ensemble_percent_optimized
3,9,Mario Lopez,3680555.555555556,29.5,percent,False,ml_ensemble_percent_optimized
3,9,Emmitt Smith,3680555.555555556,29.5,percent,False,ml_ensemble_percent_optimized
3,10,Mario Lopez,5000000.0,29.666600000000003,percent,True,ml_ensemble_percent_optimized
3,10,Emmitt Smith,5000000.0,29.666600000000003,percent,False,ml_ensemble_percent_optimized
4,2,John Ratzenberger,837301.589288683,21.0,percent,False,ml_ensemble_percent_optimized
4,2,Ian Ziering,959845.0366843599,22.0,percent,False,ml_ensemble_percent_optimized
4,2,Clyde Drexler,469671.207365224,18.0,percent,False,ml_ensemble_percent_optimized
4,2,Laila Ali,1456821.6233419855,27.0,percent,False,ml_ensemble_percent_optimized
4,2,Apolo Anton Ohno,1450018.9057399244,26.0,percent,False,ml_ensemble_percent_optimized
4,2,Shandi Finnessey,483276.64256934676,20.0,percent,False,ml_ensemble_percent_optimized
4,2,Paulina Porizkova,490079.37333248556,21.0,percent,True,ml_ensemble_percent_optimized
4,2,Heather Mills,1089191.2215503124,24.0,percent,False,ml_ensemble_percent_optimized
4,2,Billy Ray Cyrus,721560.8396268535,21.0,percent,False,ml_ensemble_percent_optimized
4,2,Joey Fatone,1320672.720873972,24.0,percent,False,ml_ensemble_percent_optimized
4,2,Leeza Gibbons,721560.8396268535,21.0,percent,False,ml_ensemble_percent_optimized
4,3,John Ratzenberger,569571.8775153633,20.0,percent,False,ml_ensemble_percent_optimized
4,3,Ian Ziering,1294597.362882237,24.0,percent,False,ml_ensemble_percent_optimized
4,3,Clyde Drexler,400101.93826160027,16.0,percent,False,ml_ensemble_percent_optimized
4,3,Laila Ali,1271661.5745798864,21.0,percent,False,ml_ensemble_percent_optimized
4,3,Apolo Anton Ohno,1425840.9750532722,23.0,percent,False,ml_ensemble_percent_optimized
4,3,Shandi Finnessey,577217.1156282392,21.0,percent,True,ml_ensemble_percent_optimized
4,3,Heather Mills,1155708.4614527975,24.0,percent,False,ml_ensemble_percent_optimized
4,3,Billy Ray Cyrus,716106.0284667755,21.0,percent,False,ml_ensemble_percent_optimized
4,3,Joey Fatone,1572375.1061364687,24.0,percent,False,ml_ensemble_percent_optimized
4,3,Leeza Gibbons,1016819.5600233584,24.0,percent,False,ml_ensemble_percent_optimized
4,4,John Ratzenberger,661184.2014696939,16.0,percent,False,ml_ensemble_percent_optimized
4,4,Ian Ziering,1425804.096361941,24.0,percent,False,ml_ensemble_percent_optimized
4,4,Clyde Drexler,478801.1713125234,15.0,percent,False,ml_ensemble_percent_optimized
4,4,Laila Ali,1399488.3078842238,21.0,percent,False,ml_ensemble_percent_optimized
4,4,Apolo Anton Ohno,1790570.1765444968,26.0,percent,False,ml_ensemble_percent_optimized
4,4,Heather Mills,1069809.9423605881,23.0,percent,False,ml_ensemble_percent_optimized
4,4,Billy Ray Cyrus,878654.976088107,21.0,percent,False,ml_ensemble_percent_optimized
4,4,Joey Fatone,1808114.028906903,28.0,percent,False,ml_ensemble_percent_optimized
4,4,Leeza Gibbons,487573.0990715232,16.0,percent,True,ml_ensemble_percent_optimized
4,5,John Ratzenberger,828349.2823029327,18.0,percent,False,ml_ensemble_percent_optimized
4,5,Ian Ziering,1323763.9569361955,24.0,percent,False,ml_ensemble_percent_optimized
4,5,Clyde Drexler,342404.3057552999,13.0,percent,True,ml_ensemble_percent_optimized
4,5,Laila Ali,1800239.2304311444,28.0,percent,False,ml_ensemble_percent_optimized
4,5,Apolo Anton Ohno,2038476.8746291993,30.0,percent,False,ml_ensemble_percent_optimized
4,5,Heather Mills,1076056.6196195642,21.0,percent,False,ml_ensemble_percent_optimized
4,5,Billy Ray Cyrus,818879.5842173023,17.0,percent,False,ml_ensemble_percent_optimized
4,5,Joey Fatone,1771830.1461083607,25.0,percent,False,ml_ensemble_percent_optimized
4,6,John Ratzenberger,967524.5197546654,19.0,percent,False,ml_ensemble_percent_optimized
4,6,Ian Ziering,1276960.7913665306,24.0,percent,False,ml_ensemble_percent_optimized
4,6,Laila Ali,2097426.466280851,28.0,percent,False,ml_ensemble_percent_optimized
4,6,Apolo Anton Ohno,2097426.466280851,28.0,percent,False,ml_ensemble_percent_optimized
4,6,Heather Mills,746323.5263800119,23.0,percent,True,ml_ensemble_percent_optimized
4,6,Billy Ray Cyrus,987132.3417022992,21.0,percent,False,ml_ensemble_percent_optimized
4,6,Joey Fatone,1827205.8882347904,27.0,percent,False,ml_ensemble_percent_optimized
4,7,John Ratzenberger,909385.1079914671,22.5,percent,True,ml_ensemble_percent_optimized
4,7,Ian Ziering,1624595.4641968021,27.0,percent,False,ml_ensemble_percent_optimized
4,7,Laila Ali,2318230.8430434675,29.5,percent,False,ml_ensemble_percent_optimized
4,7,Apolo Anton Ohno,1957928.8147879967,27.0,percent,False,ml_ensemble_percent_optimized
4,7,Billy Ray Cyrus,871628.9269367997,19.0,percent,False,ml_ensemble_percent_optimized
4,7,Joey Fatone,2318230.8430434675,29.5,percent,False,ml_ensemble_percent_optimized
4,8,Ian Ziering,1627874.4628042912,23.5,percent,False,ml_ensemble_percent_optimized
4,8,Laila Ali,2106311.599619355,26.5,percent,False,ml_ensemble_percent_optimized
4,8,Apolo Anton Ohno,2578108.6151148076,29.0,percent,False,ml_ensemble_percent_optimized
4,8,Billy Ray Cyrus,1129517.0216350367,19.0,percent,True,ml_ensemble_percent_optimized
4,8,Joey Fatone,2558188.30082651,27.5,percent,False,ml_ensemble_percent_optimized
4,9,Ian Ziering,1689927.5119673724,29.0,percent,True,ml_ensemble_percent_optimized
4,9,Laila Ali,2986043.4928195765,30.0,percent,False,ml_ensemble_percent_optimized
4,9,Apolo Anton Ohno,2337985.5023934743,29.5,percent,False,ml_ensemble_percent_optimized
4,9,Joey Fatone,2986043.4928195765,30.0,percent,False,ml_ensemble_percent_optimized
4,10,Laila Ali,2630309.051558313,28.333200000000005,percent,True,ml_ensemble_percent_optimized
4,10,Apolo Anton Ohno,3691280.8386869035,29.3332,percent,False,ml_ensemble_percent_optimized
4,10,Joey Fatone,3678410.109754784,28.6665,percent,False,ml_ensemble_percent_optimized
5,1,Cameron Mathison,699301.5966678078,21.0,percent,False,ml_ensemble_percent_optimized
5,1,Jane Seymour,912580.5083021624,24.0,percent,False,ml_ensemble_percent_optimized
5,1,Sabrina Bryan,922491.3176649638,26.0,percent,False,ml_ensemble_percent_optimized
5,1,Jennie Garth,798507.947325529,21.0,percent,False,ml_ensemble_percent_optimized
5,1,Floyd Mayweather Jr. ,386816.3343757323,18.0,percent,False,ml_ensemble_percent_optimized
5,1,Josie Maran,277699.1743552096,16.0,percent,True,ml_ensemble_percent_optimized
5,1,Albert Reed,699301.5966678078,21.0,percent,False,ml_ensemble_percent_optimized
5,1,Helio Castroneves,1453112.1512300663,52.9999,percent,False,ml_ensemble_percent_optimized
5,1,Mel B,1449808.3825406772,52.333200000000005,percent,False,ml_ensemble_percent_optimized
5,1,Wayne Newton,490978.0884730908,19.0,percent,False,ml_ensemble_percent_optimized
5,1,Marie Osmond,1210101.305729147,44.0,percent,False,ml_ensemble_percent_optimized
5,1,Mark Cuban,699301.5966678078,21.0,percent,False,ml_ensemble_percent_optimized
5,2,Cameron Mathison,851284.1850220998,21.0,percent,False,ml_ensemble_percent_optimized
5,2,Jane Seymour,968655.0669534625,21.0,percent,False,ml_ensemble_percent_optimized
5,2,Sabrina Bryan,1121039.9627880678,26.0,percent,False,ml_ensemble_percent_optimized
5,2,Jennie Garth,851284.1850220998,21.0,percent,False,ml_ensemble_percent_optimized
5,2,Floyd Mayweather Jr. ,733913.2832225218,21.0,percent,False,ml_ensemble_percent_optimized
5,2,Albert Reed,499171.4987054174,21.0,percent,True,ml_ensemble_percent_optimized
5,2,Helio Castroneves,1480155.4391783057,27.0,percent,False,ml_ensemble_percent_optimized
5,2,Mel B,1334773.3540716355,23.0,percent,False,ml_ensemble_percent_optimized
5,2,Wayne Newton,457154.6947286196,15.0,percent,False,ml_ensemble_percent_optimized
5,2,Marie Osmond,1224405.2431317768,24.0,percent,False,ml_ensemble_percent_optimized
5,2,Mark Cuban,478163.08717599243,18.0,percent,False,ml_ensemble_percent_optimized
5,3,Cameron Mathison,725362.2675851805,23.0,percent,False,ml_ensemble_percent_optimized
5,3,Jane Seymour,1176985.0784274442,27.0,percent,False,ml_ensemble_percent_optimized
5,3,Sabrina Bryan,1318228.0250895382,27.0,percent,False,ml_ensemble_percent_optimized
5,3,Jennie Garth,1028768.6465019358,26.0,percent,False,ml_ensemble_percent_optimized
5,3,Floyd Mayweather Jr. ,570172.3305280419,21.0,percent,False,ml_ensemble_percent_optimized
5,3,Helio Castroneves,1297307.5196287555,24.0,percent,False,ml_ensemble_percent_optimized
5,3,Mel B,1600713.8985455108,27.0,percent,False,ml_ensemble_percent_optimized
5,3,Wayne Newton,408008.88833927317,18.0,percent,True,ml_ensemble_percent_optimized
5,3,Marie Osmond,1311254.5199579082,26.0,percent,False,ml_ensemble_percent_optimized
5,3,Mark Cuban,563198.8253964118,20.0,percent,False,ml_ensemble_percent_optimized
5,4,Cameron Mathison,1042647.834150878,27.0,percent,False,ml_ensemble_percent_optimized
5,4,Jane Seymour,865457.2923951768,26.0,percent,False,ml_ensemble_percent_optimized
5,4,Sabrina Bryan,1574219.4395497667,30.0,percent,False,ml_ensemble_percent_optimized
5,4,Jennie Garth,1212715.8592702823,27.0,percent,False,ml_ensemble_percent_optimized
5,4,Floyd Mayweather Jr. ,503953.71427041566,23.0,percent,True,ml_ensemble_percent_optimized
5,4,Helio Castroneves,1552851.909509091,27.0,percent,False,ml_ensemble_percent_optimized
5,4,Mel B,1545729.392872794,26.0,percent,False,ml_ensemble_percent_optimized
5,4,Marie Osmond,1205593.3426339857,26.0,percent,False,ml_ensemble_percent_optimized
5,4,Mark Cuban,496831.2153476106,22.0,percent,False,ml_ensemble_percent_optimized
5,5,Cameron Mathison,1259422.1109392913,26.0,percent,False,ml_ensemble_percent_optimized
5,5,Jane Seymour,1259422.1109392913,26.0,percent,False,ml_ensemble_percent_optimized
5,5,Sabrina Bryan,1484505.8596377952,28.0,percent,False,ml_ensemble_percent_optimized
5,5,Jennie Garth,1042713.5697570229,25.0,percent,False,ml_ensemble_percent_optimized
5,5,Helio Castroneves,1442629.8220566195,23.0,percent,False,ml_ensemble_percent_optimized
5,5,Mel B,1909547.734486097,29.0,percent,False,ml_ensemble_percent_optimized
5,5,Marie Osmond,1009212.7297579747,21.0,percent,False,ml_ensemble_percent_optimized
5,5,Mark Cuban,592546.0624259079,21.0,percent,True,ml_ensemble_percent_optimized
5,6,Cameron Mathison,1037933.1061171467,25.0,percent,False,ml_ensemble_percent_optimized
5,6,Jane Seymour,1010155.3153309859,22.0,percent,False,ml_ensemble_percent_optimized
5,6,Sabrina Bryan,1037933.0918033266,25.0,percent,True,ml_ensemble_percent_optimized
5,6,Jennie Garth,1594086.0200376494,27.0,percent,False,ml_ensemble_percent_optimized
5,6,Helio Castroneves,1872162.467063793,28.0,percent,False,ml_ensemble_percent_optimized
5,6,Mel B,2159498.2174217533,30.0,percent,False,ml_ensemble_percent_optimized
5,6,Marie Osmond,1288231.7822253448,23.0,percent,False,ml_ensemble_percent_optimized
5,7,Cameron Mathison,997073.5817175473,25.5,percent,False,ml_ensemble_percent_optimized
5,7,Jane Seymour,991731.6942903849,25.0,percent,True,ml_ensemble_percent_optimized
5,7,Jennie Garth,1732395.0338206307,26.5,percent,False,ml_ensemble_percent_optimized
5,7,Helio Castroneves,2089371.9850178475,26.0,percent,False,ml_ensemble_percent_optimized
5,7,Mel B,2462374.5786283365,27.0,percent,False,ml_ensemble_percent_optimized
5,7,Marie Osmond,1727053.1265252533,26.0,percent,False,ml_ensemble_percent_optimized
5,8,Cameron Mathison,1303586.0744447228,25.5,percent,True,ml_ensemble_percent_optimized
5,8,Jennie Garth,1297248.9293062468,25.0,percent,False,ml_ensemble_percent_optimized
5,8,Helio Castroneves,2812197.123859816,28.5,percent,False,ml_ensemble_percent_optimized
5,8,Mel B,2805859.9780267524,28.0,percent,False,ml_ensemble_percent_optimized
5,8,Marie Osmond,1781107.894362463,24.5,percent,False,ml_ensemble_percent_optimized
5,9,Jennie Garth,1695156.6952216155,29.0,percent,True,ml_ensemble_percent_optimized
5,9,Helio Castroneves,2991452.990740255,30.0,percent,False,ml_ensemble_percent_optimized
5,9,Mel B,2991452.990740255,30.0,percent,False,ml_ensemble_percent_optimized
5,9,Marie Osmond,2321937.3232978745,28.0,percent,False,ml_ensemble_percent_optimized
5,10,Helio Castroneves,2969187.304320422,27.999900000000004,percent,True,ml_ensemble_percent_optimized
5,10,Mel B,4166665.6221123156,28.3332,percent,False,ml_ensemble_percent_optimized
5,10,Marie Osmond,2864147.0735672624,23.0,percent,False,ml_ensemble_percent_optimized
6,2,Cristian de la Fuente,1044335.835136765,20.0,percent,False,ml_ensemble_percent_optimized
6,2,Steve Guttenberg,408639.39452770655,16.0,percent,False,ml_ensemble_percent_optimized
6,2,Priscilla Presley,847568.8796937566,21.0,percent,False,ml_ensemble_percent_optimized
6,2,Marlee Matlin,968650.149522331,24.0,percent,False,ml_ensemble_percent_optimized
6,2,Shannon Elizabeth,867024.13432872,24.0,percent,False,ml_ensemble_percent_optimized
6,2,Marissa Jaret Winokur,745942.8744342532,21.0,percent,False,ml_ensemble_percent_optimized
6,2,Jason Taylor,1394609.474865846,27.0,percent,False,ml_ensemble_percent_optimized
6,2,Kristi Yamaguchi,1394609.474865846,27.0,percent,False,ml_ensemble_percent_optimized
6,2,Monica Seles,300528.2944557744,15.0,percent,True,ml_ensemble_percent_optimized
6,2,Penn Jillette,313498.4741465245,17.0,percent,False,ml_ensemble_percent_optimized
6,2,Adam Carolla,529720.664356281,19.0,percent,False,ml_ensemble_percent_optimized
6,2,Mario,1184872.3496661955,26.0,percent,False,ml_ensemble_percent_optimized
6,3,Cristian de la Fuente,1432748.534374144,25.0,percent,False,ml_ensemble_percent_optimized
6,3,Steve Guttenberg,570175.4373359954,21.0,percent,True,ml_ensemble_percent_optimized
6,3,Priscilla Presley,1162280.710113774,26.0,percent,False,ml_ensemble_percent_optimized
6,3,Marlee Matlin,847953.2147376336,21.0,percent,False,ml_ensemble_percent_optimized
6,3,Shannon Elizabeth,1008771.9292237886,24.0,percent,False,ml_ensemble_percent_optimized
6,3,Marissa Jaret Winokur,555555.5598864321,19.0,percent,False,ml_ensemble_percent_optimized
6,3,Jason Taylor,1279239.763418266,23.0,percent,False,ml_ensemble_percent_optimized
6,3,Kristi Yamaguchi,1586257.3152641293,27.0,percent,False,ml_ensemble_percent_optimized
6,3,Adam Carolla,570175.4370128788,21.0,percent,False,ml_ensemble_percent_optimized
6,3,Mario,986842.0986329571,21.0,percent,False,ml_ensemble_percent_optimized
6,4,Cristian de la Fuente,1359259.2548182155,26.0,percent,False,ml_ensemble_percent_optimized
6,4,Priscilla Presley,662962.9572833303,22.0,percent,False,ml_ensemble_percent_optimized
6,4,Marlee Matlin,1011111.1110178264,24.0,percent,False,ml_ensemble_percent_optimized
6,4,Shannon Elizabeth,1207407.4077131476,28.0,percent,False,ml_ensemble_percent_optimized
6,4,Marissa Jaret Winokur,844444.4506940432,24.0,percent,False,ml_ensemble_percent_optimized
6,4,Jason Taylor,1714814.8151620687,29.0,percent,False,ml_ensemble_percent_optimized
6,4,Kristi Yamaguchi,1714814.8151620687,29.0,percent,False,ml_ensemble_percent_optimized
6,4,Adam Carolla,474074.07713147387,19.0,percent,True,ml_ensemble_percent_optimized
6,4,Mario,1011111.1110178264,24.0,percent,False,ml_ensemble_percent_optimized
6,5,Cristian de la Fuente,1263954.3060945172,23.0,percent,False,ml_ensemble_percent_optimized
6,5,Priscilla Presley,605921.8527253123,21.0,percent,True,ml_ensemble_percent_optimized
6,5,Marlee Matlin,828100.4762357391,22.0,percent,False,ml_ensemble_percent_optimized
6,5,Shannon Elizabeth,1050279.0798779505,23.0,percent,False,ml_ensemble_percent_optimized
6,5,Marissa Jaret Winokur,1058782.4871059181,24.0,percent,False,ml_ensemble_percent_optimized
6,5,Jason Taylor,1725318.3278348758,27.0,percent,False,ml_ensemble_percent_optimized
6,5,Kristi Yamaguchi,1956000.3486391623,29.0,percent,False,ml_ensemble_percent_optimized
6,5,Mario,1511643.1214865241,27.0,percent,False,ml_ensemble_percent_optimized
6,6,Cristian de la Fuente,1862903.227796053,27.0,percent,False,ml_ensemble_percent_optimized
6,6,Marlee Matlin,732078.8630334391,21.0,percent,True,ml_ensemble_percent_optimized
6,6,Shannon Elizabeth,1028673.8299685917,24.0,percent,False,ml_ensemble_percent_optimized
6,6,Marissa Jaret Winokur,1047192.3475181028,26.0,percent,False,ml_ensemble_percent_optimized
6,6,Jason Taylor,1566308.2509267929,24.0,percent,False,ml_ensemble_percent_optimized
